"","Nome","Classe","Codigo","Setor","Subsetor","VolNegAno","PatrLiquid","Nome_indice","Valor_indice","Ano"
"38","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"Preco_ValorPatrim",1,"2017"
"39","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"Preco_ValorPatrim",0.9,"2018"
"40","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"Preco_ValorPatrim",1,"2019"
"41","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"Preco_ValorPatrim",0.8,"2020"
"42","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"Preco_ValorPatrim",0.8,"2021"
"43","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"PrecoVendas",NA,"2016"
"44","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"PrecoVendas",NA,"2017"
"45","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"PrecoVendas",NA,"2018"
"46","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"PrecoVendas",NA,"2019"
"47","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"PrecoVendas",NA,"2020"
"48","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"PrecoVendas",NA,"2021"
"49","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"PrecoEBITDA",NA,"2016"
"50","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"PrecoEBITDA",NA,"2017"
"51","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"PrecoEBITDA",NA,"2018"
"52","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"PrecoEBITDA",NA,"2019"
"53","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"PrecoEBITDA",NA,"2020"
"54","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"PrecoEBITDA",NA,"2021"
"55","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"Preco_FCF",NA,"2016"
"56","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"Preco_FCF",NA,"2017"
"57","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"Preco_FCF",NA,"2018"
"58","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"Preco_FCF",NA,"2019"
"59","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"Preco_FCF",NA,"2020"
"60","Abc Brasil","PN","ABCB4","Financeiro","Intermediários financeiros",3271,4288,"Preco_FCF",NA,"2021"
"61","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoLucro",NA,"2016"
